original_id,original_text,original_cefr,text_A1,text_A2,text_B1,text_B2,text_C1,text_C2
10,"REBECCCA STEVENS

Rebecca Stevens was the first woman to climb Mount Everest. Before she went up the highest mountain in the world, she was a journalist and lived in a small flat in south London.
In 1993, Rebecca left her job and her family and travelled to Asia with some other climbers. She found that life on Everest is hard. 'You must carry everything on your back,' she explained, 'so you can only take things that you will need. You can't wash on the mountain, and in the end I didn't even take a toothbrush. I am usually a clean person but there is no water, only snow. Water is very heavy so you only take enough to drink!'
When Rebecca reached the top of Mount Everest on May 17 1993, it was the best moment of her life. Suddenly she became famous.
Now she has written a book about the trip and people often ask her to talk about it. She has a new job too, on a science programme on television.
Rebecca is well known today and she has more money, but she still lives in the little flat in south London among her pictures and books about mountains!",A2,,,,,,
11,"Schnauzer Dogs

There are three sizes of Schnauzer dog.
The two smaller sizes first came to England over 50 years ago, but the Giant Schnauzer has not been here very long. The name Giant is a good one because the dogs are 65 to 67.5 cm high.
All the dogs have long hair, which should be cut quite often. Most smaller Schnauzers are grey in colour, but the Giant Schnauzer is usually black.
Schnauzers come from Germany, where farmers use the dogs to help them with their sheep, and they are also used by the police, because Schnauzer dogs are very intelligent.
A Schnauzer makes a nice family dog. It is friendly and very good with young children.",A2,,,,,,
12,"THE OSTRICH 

The ostrich is the largest bird in the world, and an adult can be more than 90 kilos. Most wild ostriches live in southern Africa, but there are only a few of them left. Like all birds, ostriches have wings, but they cannot fly. They use their wings to help them turn when they are running. Ostriches can run very fast, from 65 to 90 kilometres an hour, so it is very difficult for other animals to catch them. 
Baby ostriches are the same size as chickens and take about 3 years to become adults. Ostriches eat plants and can live for many days without water. 

",A2,,,,,,
13,"Dear Jacqueline, 
Would you like to come to the cinema with me after school today? We can go to see Pocahontas at the ABC cinema. The film starts at 6 o'clock. Shall we meet outside the cinema? 
Love, 
Isabella

Dear Isabella,
I am very sorry but I can't go to the cinema this evening. My mother has some work, and I am going to cook dinner. Why don't you invite Karen to go? I hope you like the film. You can tell me about it tomorrow.
Love,
Jacqueline

",A2,,,,,,
14,"WORKING FOR AN AIRLINE

Nicola Peet left school at eighteen, went to college and then worked at a local airport. After nine months, she went to work for Saudi Arabian Airlines and then she joined British Airways as an air hostess. Four years later, she got her present job as a manager.
This is what she told us about her job:
'My office is at Heathrow Airport, but I spend 60% of my time in the air. I teach air hostesses and help them with any problems. I also go to lots of meetings.
My hours are usually from 8 a.m. to 4 p.m. but sometimes I work from 1 p.m. to 9 p.m. At work, the first thing I do is check plane times on my computer and then I speak with some of the air hostesses.
Sometimes I go on long flights to check how the air hostesses are doing. That's my favourite part of the job, but I like office work, too. Travelling can be hard work. When I get back from a long journey, all I can do is eat something and then go to bed! I don't earn much money, but I'm happy with British Airways and want to stay there and continue to travel.'",A2,,,,,,
15,"The Ruwenzori Mountains 

Mary Daniels is a student in England. This year she had a very interesting summer holiday. She travelled with fifteen other people to the Ruwenzori Mountains in Africa. They went there to help make a road through a forest between two big towns. 'It was very difficult because there was no water to drink and no shops where we could buy food,' said Mary. 'It was also very cold and wet in the mountains. It is one of the wettest places in the world.' 
Mary stayed in the mountains for six weeks. It was hard work, but she says it was the best thing she has ever done. She is hoping to return next year to do some more work there. 

",A2,,,,,,
16,"Dear Mike, 
I am sorry you could not come to my party yesterday. Jon told me you had a very bad cold and you decided to stay in bed. Are you feeling better now? 
It was a very good party; the nicest I have ever had! Lots of my friends were there and they gave me some lovely presents. I will tell you more about the party when you come to school on Monday. 
Love, 
Lorenzo

",A2,,,,,,
17,"HOWARD BONNIER

Bray is a beautiful village about fifty kilometres west of London. A young Englishman named Howard Bonnier opened a restaurant called The Palace there about three and a half months ago. Not many people in Britain know Mr Bonnier's name yet, but he's already quite famous in France. This is because he has written in French magazines about almost all the best restaurants in that country. He's only 29 years old.
When Howard was a teenager, he often went to restaurants with his mother and father. He liked doing this so much that he decided not to buy lots of clothes and CDs; instead, he used his money to visit France and eat in good restaurants. He also bought a lot of French and English cookbooks - he says he has more than two hundred and fifty!
So why did he decide to open a restaurant? Simply because he loves cooking. Has it been an easy thing to do? He says it's expensive to start your own restaurant and it's much more difficult to cook for fifty people than to cook for your family, but he's sure he's done the right thing.",A2,,,,,,
18,"Line dancing 

Thousands of people in Britain have a new hobby -- line dancing. In almost every town, you will find clubs and classes for this new activity. 
'Line dancing is easy to learn. If you have two feet and can walk, then you can do it!' Fiona Lever, a teacher, says. 'You don't need a partner because you dance in groups. It's the best way to make new friends. In my classes, there are young and old people. The boys like it because they can make a lot of noise with their feet during the dances!' 
When did line dancing begin? Most people think it started about fifteen years ago when American country music became famous in Britain. 
",A2,,,,,,
19,"Dear Lynne and Tony, 

I'm writing to say thank you for the two nights I stayed in 
your lovely home. It was good to see you again. 
Here are the photographs of your children that you asked for. They're good photos, aren't they? I hope you like them. I really love my new camera. 
I am going to visit my sister in New York next week. I will take a lot of photos there, too. I haven't seen my sister for a long time.
Thanks again. 
Love,
Roy 

",A2,,,,,,
20,"Bill Prince-Smith

Bill Prince-Smith was a farmer and a teacher and a dentist before he became a writer of children's books at the age of 60. Now, thirteen years later, he has written more than 80 books. Every day, he goes into his office and writes. In the evening, he gives the work to his wife to read. 'She tells me when she doesn't like something,' says Bill. 'My ten grandchildren don't live near here but they also read my stories and say if they are good or bad.' And so Bill has learned what young children want to read.
Bill writes about the life in his village and on the farms near it. His fifth book is his favourite: The Sheepdog is about a farmer and the dog that helps him.
'I have always liked animals,' says Bill, 'and dogs are so clever, they learn very quickly.'
Last year, the book was made into a film with real animals and actors. The film-makers used the latest computer technology to make people think that the animals are speaking. Bill was very pleased with the film. 'Sometimes film- makers change books, but they didn't change mine and I love the film.'",A2,,,,,,
21,"Otters 

Not many people have seen an otter. These animals live near rivers and
make their homes from small pieces of wood. They usually come out of their
homes at night. Otters are very good in the water and can swim at more than 
10 kilometres an hour. They have thick brown hair and this keeps them warm in the water. An otter can close its ears and nose. This means otters can stay under water for several minutes. 
Twenty years ago, there were few otters in Great Britain. The water in the rivers was so dirty that many fish and insects died and the otters couldn't find anything to eat. But today there is lots of food for them because the rivers are clean again. 

",A2,,,,,,
22,"28 Long Road Brighton 

22nd March 

Dear Pat,

I arrived here three weeks ago. I 'm studying at a language school in Brighton. The students come from many different countries and I have made a lot of new friends. 
There are classes for five hours every day. I like our teacher very much. His name is John and he helps me if I make a mistake. 
 
I want to visit London next weekend because I am going back to my country on Monday. Can I see you there? Please write to me soon.
 
With best wishes from Maria 
",A2,,,,,,
23,"TO ALL STUDENTS:

Would you like to come on a camping trip this weekend?
We are going to go to the forest in the school bus and we will stay at a camp-site from Friday to Sunday. It has hot showers and a small shop and you can rent bicycles there.
The trip costs PS25. It is very cold there at night, so you should take warm clothes and you will need to wear strong shoes. 
If you want yo come, tell me today.
Ahmed,
Student Secretary

",A2,,,,,,
24,"HOW DO THE IRISH POP-GROUP 'BOYZONE' LIVE A HEALTHY LIFE?

Sleeping well is very important. When I can get home to my mother's house, I sleep for ten hours. But I find it very difficult to sleep at night after a concert because my head is full of music.
Sport is important. Before I had a car accident I was at the sports centre two and a half hours a day, five days a week. I can't do that now so I do about 150 sit-ups a day.
I don't drink alcohol or smoke. I try to eat well. Also I drink a lot of water because it's good for your health. I should have about eight glasses a day but I don't always drink so much.
People shouldn't work all the time. I love my job but there are other things I like doing too. In my free time I just listen to music or watch TV. It's good for you to do nothing sometimes.
I don't get tired any more since the doctor told me to eat better. Now I eat lots of things like carrots and spinach every day. But I still eat burgers sometimes!",A2,,,,,,
25,"The Cerne Giant 

Sherborne and Dorchester are two towns in the south of England that are quite near each other. On the road between them, there are a lot of green hills and fields. On one of these hills is a picture of a very large man. The man in the picture is called the Cerne Giant because the village that is next to 
him is called Cerne.
Nobody really knows when the Cerne Giant was made, but people think that it was a very long time ago. To get nearer the picture, you can walk from 
Cerne. If you go on the first of May when the sun comes up, you will see all the people from the village dancing around the man on the hill. 

",A2,,,,,,
26,"Dear Lorna,

How are you? I'm happy because last month I got a new job in the city centre. I am working in a Tourist Information Office and it is very interesting. I start work every morning at half past seven, so I have to get up very early! I love this job because I meet people from a variety of different countries. I like telling them about our city. Here is a photo of me. I'm wearing my new uniform. Do you like it?
Love,
Gloria
",A2,,,,,,
27,"John Pickering

In a park in a small town in central England, John Pickering cuts the grass and waters the flowers. But all last week he was in Tokyo and millions of Japanese people watched the thirty-five-year-old gardener on television because John is the number one singer in Japan at the moment. John visited Japan a few months ago to sing in dance clubs in Osaka and Nagoya. A disc jockey heard his songs and played them on his radio show. Hundreds of young people phoned the radio and asked the disc jockey to play the songs once more.
John, who uses the name Jon Otis when he sings in Japan, is not going to stop working in the park in England. He does not know yet how much he will earn from his music. 'I must keep my job in the park,' he says. 'I still have to pay my bills!' The other gardeners do not know that he is famous in Japan. They've never even heard him sing.
John's wife, Denise, a hospital worker, says, 'This will not change the way we live. I only know John Pickering, not Jon Otis!'",A2,,,,,,
28,"POSTCARDS 

Today, people like to send postcards to their friends and family. These postcards often have pictures of beaches, mountains or castles on them and you can write a message on the back. Many people send postcards when they are on holiday because postcards are cheap and the pictures on them are often better than people's own photos. 
Somebody sent the first postcard at the end of the nineteenth century. It had a picture of a town by the sea on it. Later on, postcards had pictures showing something in the news that week, perhaps an accident or an important person's visit. People liked to see them because they did not have pictures in their newspapers then. 

",A2,,,,,,
29,"Dear Mrs Brian,

I am sorry but I can't come to your class any more because I have to return to my country. My sister is going to get married next month. I want to go shopping with her to choose a dress. My parents are going to make a big meal for the guests and there will be a lot of work in the kitchen.
I'm sorry I will leave the English class. You are a very good teacher. Please say goodbye to the other students for me.
Thanks again.
Best wishes,
Soraya
",A2,,,,,,
30,"Bill Bryson

I was born in the United States but I have written several travel books about England. I lived there with my wife and four children for 20 years, but for the last three years we have lived in the United States. Our children are now learning about life in the United States. I'm sure they will be happier because they have lived in two countries. I like Britain and I want to return, but my daughter, Felicity, is going to start college here soon, so it won't be for another four years.
I have just been to England for six weeks to work on a radio programme about the English language and also to talk about the book I've just written. Most writers don't like doing this; they don't like travelling around the country, selling their book. I don't mind it. I like visiting new places and meeting lots of people. It's very different from the life I have in the United States when I'm writing. In England, people drove me around in big cars and I stayed in expensive hotels. It was good because I didn't have to pay any bills. Everyone was kind to me and it was fun.",A2,,,,,,
31,"CROCODILES 

We can find crocodiles in tropical parts of the world, for example Africa, South America and Northern Australia. 
They spend most of the time in slow-moving water but they can move fast through the water and on land. 
You often see crocodiles together in large groups. They eat everything they catch, like fish, birds and small animals. And sometimes they make a meal of large animals or even people. 
There are more than ten types of crocodile. They all have very sharp teeth. They often lose these teeth, but soon get new ones. 
Crocodiles are usually about 3.5 metres long, but some are much bigger. Crocodiles live for a long time. The oldest one kept in a zoo was 66 years old. 
",A2,,,,,,
32,"Dear Maria,

It's good to be back home in my country but I still think about all the friends I made in our English class, especially you. I cried when I left England because my visit was too short. I would like to return to England but next time I will stay in a different city. 
I have started English classes again here. I learnt a lot of things in England but I know I need to study even harder.
How about you? Are you still looking for a job? I hope you find it soon.
Love,
Sophie",A2,,,,,,
33,"THE HISTORY OF THE LONDON POLICE

Today there are policemen everywhere, but in 1700 London had no policemen at all. A few old men used to protect the city streets at night and they were not paid very much.
About 300 years ago, London was starting to get bigger. The city was very dirty and many people were poor. There were so many thieves who stole money in the streets that people stayed in their homes as much as possible.
In 1750, Henry Fielding started to pay a group of people to stop thieves. They were like policemen and were called 'Bow Street Runners' because they worked near Bow Street.
Fifty years later, there were 120 Bow Street Runners, but London had become very big and needed more policemen. So, in 1829, the first Metropolitan (or London) Police Force was started with 3000 officers. Most of the men worked on foot, but a few rode horses. Until 1920 all the police in London were men.
Today, London police are quite well paid and for the few police officers who still ride horses, the pay is even better than for the others.",A2,,,,,,
34,"Snowboarding

Victoria Jamieson from Britain started snowboarding at 20. She is now 23 and has won many competitions in this sport. We spoke to her when she was at a snowboarding competition last week in Switzerland and asked her why she started the sport.
'I've always liked all kinds of sports, especially skiing, and it seemed natural to start snowboarding. It doesn't take long to learn and you can become really good in a few months.'
We asked her if she had to do a lot of practice. 'Well, in winter I snowboard in the mountains every day from 8.30 a.m. until 4 p.m. I also run and go biking. But I just love doing it all! I like the competitions and being in the mountains. It's so beautiful. But free-riding, that's doing what you want when you're not in a competition, is the best thing in the world for me.'
We asked her what is important when you're learning. 'You can learn quickly but you need lessons. It's also important to have the right clothes so you don't get wet because, to begin with, you spend a lot of time falling down!'",A2,,,,,,
35,"BEARS

The bear can be a dangerous animal. The adult bear is very strong and it can kill a person. Bears are good at climbing trees and they can run very fast. But they cannot see well and, like most animals, they find food by using their noses.
There are seven kinds of bear: The largest is the white polar bear, which is almost three metres tall. There are two kinds of black bear: One lives in the forests of North America, and the other lives in South-East Asia. But not all black bears are black. They may be dark brown or a reddish brown.
Everyone loves the black and white panda bear, which comes from China. Not many pandas live in the forest today because it is difficult to find food.",A2,,,,,,
36,"Dear David,
I am going to visit your country next month. I'm going to travel with two friends. We don't know where to stay. Are there any cheap hotels in your town? We would like to stay somewhere in the centre. Can you help us?
Carlos

Dear Carlos,
Hotels in the centre are expensive, but I have good news. I have spoken to my aunt Gloria about you and she says you can all stay at her house. It has more bedrooms that my house! That will be alright with you, won't it?
David",A2,,,,,,
37,"ICE-FISHING

If you drive north from Toronto for three hours, you come to Lake Nipissing. In winter, the lake becomes ice, and thousands of Canadian fishermen travel there each weekend. They build little houses of wood on the ice and paint them in bright colours. Then they sit inside to catch the fish that swim under the ice.
Bob Marvisch has come here at this time of year for twenty-five years. 'You need clothes that are light but warm: two pairs of socks and gloves, several thin sweaters and a snow suit on top. Catching the fish. is easy,' he says. 'First you break the ice and make a small round hole in it. Next you take a fishing line and put some bread on it. Then you put the line through the hole and into the water. You pull the line up when the fish eat the bread. They are between ten and twenty centimetres long. Some people like to eat them, but when I have caught three or four fish, I prefer to have some chocolate or other snack! Today I have caught twenty-five! It's a great sport and you can meet some nice people here!'",A2,,,,,,
38,"The History of Farming 

Before people started farming, they went to the forest to look for plants or fruit they could eat. This meant that people were moving all the time to find food. But about 12,000 years ago, in the Middle East, people began to grow food. These people were the first farmers. Farming made it possible for people to stay in one place and slowly their villages got bigger. 
Some people in the villages became free to do other work, like making clothes, because the farmers could grow food for everyone. Unfortunately, farming was difficult when the weather was bad and then some people did not get enough food to eat. 
Today, farmers can grow more food and it travels thousands of kilometres from where it is grown to our homes. 
",A2,,,,,,
39,"23 Oak Avenue Manchester

Dear Sir or Madam,
I would like a room at your hotel for three nights from September 15th to 17th.
I'd like a single room with a shower. I also need a telephone in my room. Please can I have a quiet room on the ground floor?
I am going to drive to the hotel. Is there a hotel car park?
I will arrive at about 10.30 p.m. What time does the restaurant close in the evening? If possible, I would like a meal when I arrive.
Thank you for your help.
Yours faithfully,
Mark Jones",A2,,,,,,
40,"Corryvale Farm

Corryvale Farm is in the west of England. Stephen and Jenny Blackler keep cows and chickens and sell milk and eggs. But most of their money comes from Jenny's sheep.
She has 50 sheep and each one has enough wool for six sweaters. Every six months, Stephen cuts this wool off the sheep so they won't get too warm. Five years ago, Jenny made some sweaters with the wool and tried to sell them at country markets. But it was summer and the weather was hot so people didn't want to buy sweaters. She then made some socks. Everybody loved them because they were cheap, strong and easy to wash.
That's how Jenny's business started. At first she made the socks at home, but soon she had thousands of customers so she had to send the wool to a factory, where all the socks are now made on machines. There are six colours, five sizes for all ages, and different socks for walkers, sportsmen and skiers. Jenny is busiest at Christmas because Corryvale socks are a favourite present. On the walls of Jenny's office, there are lots of letters from happy customers all over the world.",A2,,,,,,
41,"The Globe Theatre 

Visiting the theatre in London 400 years ago was very different from visiting a modern theatre. The building was round, there was no roof, and people got cold and wet if the weather was bad. The queen loved going to the Globe Theatre, by the River Thames, to see the plays of William Shakespeare. All the actors at that time were men. The visitors ate, talked to their friends, walked about during the show, and some people even threw things at the actors! 
Today, it is still possible to visit the Globe Theatre. A new theatre stands in the same place near the river. You can enjoy a Shakespeare play there or just learn about life in the seventeenth century. 
",A2,,,,,,
42,"Dear Jeff, 
I'm having a good holiday in Australia. When we arrived two weeks ago the weather was bad and it was cold. Now the weather is better and we go to the beach every day. 
This week we are staying in Sydney but next week we went to the Great Barrier Reef. Because the water was so warm, I loved swimming there. The fish were all different here: red, yellow, purple! Australia is very beautiful. We don't want to come home! 
See you at the end of September. 
Sue
",A2,,,,,,
43,"A great idea!

Frazer and Peter are two 14-year-old boys who grew up in the same small Canadian town.
They have always been friends and classmates. Like all their other friends, they enjoy going fishing or swimming at weekends. But for the last few months, they've spent every weekend in Peter's room working on his laptop. This isn't because they have a lot of homework. They have made a new computer word game.
The idea for the game came from Frazer's little brother, Kevin, who had problems with his reading. Kevin learns words more easily by seeing pictures and hearing information than he does by reading. His brother wanted to help. Frazer and Peter worked together for over 200 hours to make a computer game and now it's ready to use. It's a speaking and picture game. For example, if you look at the word 'hat', there's a drawing of a hat next to it and you can hear Peter saying 'Hat! Hat!' at the same time.
The two boys have won a lot of prizes for their computer game and it will soon be on sale around the world. Many schools are interested in buying it.",A2,,,,,,
44,"Dinosaurs

No one has ever seen a dinosaur. The last dinosaur died about 60 million years ago, a long time before there were any people on the earth. Nobody knows for sure why they all died.
The nearest living relatives of dinosaurs are birds.
Dinosaurs didn't all look the same. There were more than 5000 kinds. Some were very small, but others were giants. The largest were bigger than any other animals that ever lived on land. The Brontosaurus, for example, was twenty metres long, and it ate plants. The Tyrannosaurus Rex was not as big, but it was stronger. It had sharp teeth for eating meat. Also it could run fast because it had long back legs.",A2,,,,,,
45,"Parrots 

Perhaps you have seen these beautiful birds, with their lovely colours and long tails in the forest or in the zoo. Parrots are found in countries like Brazil, Australia and India. They usually live in large groups and because they like to eat fruit, they are sometimes a problem for farmers. 
There are many different kinds of parrots, but they all have strong beaks and feet, which they use for climbing and holding food. The biggest birds can live for up to 80 years. 
They are very noisy, but they are clever birds and it is easy to teach them to talk. Some zoos have parrot shows, where you can see the birds doing things they have learned. 
",A2,,,,,,
46,"From: Greg

To: Anna

Hi Anna,
I'm not having a very good week!
Yesterday my team had a volleyball match, but we lost. The other team played much better than we did! Then my friend Jeff, who lives in Australia, telephoned with bad news. He can't come to stay with us during the holidays because he's got a summer job. We can't go camping together now. And this morning, my sister got up late so she rode my bike to school! She didn't tell me she needed to use it. I'm really angry with her. 
I hope you have some good news! Write back today if you can.
Greg
",A2,,,,,,
47,"Piano players - when they were young

Ivan Petrov
Ivan was born on a farm in Russia, but from the age of twelve to eighteen he studied in Poland. His first music teacher couldn't play the piano but taught him and his sister songs from the opera. His mother began to teach him the piano when he was six. At ten, he decided that he wanted to write music too, and he soon started on his first song.
Oleg Gagarin
Oleg was the youngest of five children and when he was four years old his father, who liked playing the piano, taught him some traditional Russian music. When he was six, he started having lessons with a piano teacher who lived in the same city. Oleg soon began to win prizes for his piano playing. At the age of fourteen, he went to a music college in Austria for two years. Later, he returned home to Russia.
Josef Heptmann
Josef's father was German but he taught music in Poland where Josef was born. The family moved to Germany when Josef was two, and a year later he started playing the piano.
He gave his first concert when he was six. At ten, he gave fifty-two concerts in two months during a trip to England! Josef always liked music but he was also interested in physics and languages. He is too busy now but one day he would like to write his own music.",A2,,,,,,
48,"The history of horse racing 

From the first history books ever written, it is clear that horse racing has
always been an important sport. It started in Central Asia about 4,500 years ago and was a favourite sport in both Greek and Roman times. 
Modern horse racing began when Arab horses were brought to Europe in the 12th century. At first, races were long and between just two horses, but at the beginning of the 18th century this changed. Races became much shorter and had several horses running against each other. 
Today, horse racing is watched by more people than any other sport in the USA, except baseball. It is also very popular in other parts of the world. 
",A2,,,,,,
49,"Indre, 
I have a problem and I need your help. Can you come shopping with me tomorrow? My grandmother is going to turn 80 next month and she is having a party on Saturday. 
The problem is I don't have anything to wear. I have grown so much that all my trousers are too short for me now! I want to buy some new ones and maybe a pair of boots. I haven't got a lot of money to spend but I think it will be enough. 
Would you like to meet me in the morning or the afternoon? Let me know. 
Sarika 
",A2,,,,,,
50,"World traveller

Nick Barlow loves his work. He's a British actor and he travels around the world making TV programmes. 'People welcome me everywhere I go and when I get home I remember all the wonderful things that happened in each country.' Nick has travelled to many places but there are a few trips that he would still like to make. 'I'd love to visit South America and go back to Australia one day,' he says.
On each trip, Nick travels with a team of people. They bring the cameras and other filming equipment needed to make the programme. Nick doesn't take a lot of things for himself, just a few shirts and trousers, but he always makes sure he has some books in his suitcase.
Nick's wife, Helen, doesn't mind him travelling for his work. She has a lot of friends and keeps busy. When he gets back, she likes to listen to all his travel stories. But sometimes there are problems. When he was in the Malaysian rain forest, Nick heard that his wife was ill in hospital. 'I felt terrible because I couldn't help, but she didn't want me to come home. I was so happy when I heard she was better.'",A2,,,,,,
51,"Big cats 

There are many different kinds of cats. They are different in size and they do not look or act the same. 
Tigers are the biggest cats. From head to tail they can be 3.7m long. Most cats don't like water, but tigers will often lie in a pool of water when it is hot! 
Lions are the only cats that stay together in large family groups. Several lions may work together to get food for the group. They usually live in flat, open countryside where they can see a long way and easily follow other animals. 
All cats need good eyes, because they catch smaller animals for their food. They also need to be fast, and very strong. ",A2,,,,,,
52,"Dear Deshini, 
It's great that you are my new penfriend. My name is Tom and I am fifteen years old. I was born in Canada but I live in England now. Please write and tell me all about your life in India. I would love to go there one day. 
Do you live in a small village or in a big town? What is your school like? Have you got any pictures of your school you could send me? I'm sending you a few photos of my family. I'll send more the next time I write. 
I hope you'll write to me soon. 
Tom 
",A2,,,,,,
53,"Bollywood

'Bollywood', which is the name of the film industry in Mumbai, India, makes almost 1,000 films a year. Since making its first film in 1913, Bollywood has made over 29,000 films. This is a much higher number than the USA and means it is the biggest film industry in the world. Most Indians like watching films better than any other free-time activity and ten million of them go to the cinema every day. Bollywood films tell romantic love stories, and singing and dancing are an important part of every film. Indian films are also enjoyed outside India. Last year, Bollywood made over $500 million by selling its films to other countries.
Indian actors make more films each year than American actors in Hollywood, but they are not paid as much. This is why most Bollywood films only cost about $2 million to make. A Hollywood film is never made for under $5 million.
Most Bollywood actors are young. They work hard but only for a few years. Amitabh Bachchan, who some people say is India's greatest actor, is different. He has been the star of more than 140 films during an acting career of almost 40 years.",A2,,,,,,
