text,cefr_level
"Acid-free, archival quality paper keeps its color and texture far longer than wood pulp based paper such as newsprint, which turns yellow and becomes brittle much sooner.",B2
"The success of Zig et Puce in 1925 popularized the use of speech balloons in European comics, after which Franco-Belgian comics began to dominate.",B2
Cartridge paper is the basic type of drawing paper sold in pads.,A2
"Topics that climatologists study fall roughly into three categories: climate variability, mechanisms of climatic change change and modern climate change.",B1
Orchestrate the elements of the map to best convey its message to its audience.,B2
Geographers are making notable contributions to the method of quantitative techniques.,B1
"North American Cartographic Information Society (NACIS), A North American-based cartography society that is aimed at improving communication, coordination and cooperation among the producers, disseminators, curators, and users of cartographic information.",B2
"Absolute space leads to the view of the world as a photograph, with everything frozen in place when the coordinates were recorded.",B2
"Culinary hygiene (or food hygiene) pertains to the practices related to food management and cooking to prevent food contamination, prevent food poisoning and minimize the transmission of disease to other foods, humans or animals.",B1
"Among National Health Service smoking cessation clients in Glasgow, pharmacy one-to-one counselling cost £2,600 per QALY gained and group support cost £4,800 per QALY gained.",B2
Hygiene in a variety of settings plays an important role in preventing the spread of infectious diseases.,B1
"Voluntary rules making homes smoke-free, which are thought to promote smoking cessation.",B1
"Cycling is also used for rehabilitation after hip surgery to manage soft-tissue healing, control swelling and pain, and allow a larger range of motion to the nearby muscles earlier during recovery.",B2
The development of iron smelting was once attributed to the Hittites of Anatolia during the Late Bronze Age.,B1
"However, Chinese naval maritime influence would penetrate into the Indian Ocean until the medieval period.",B2
"Against the backdrop of those developments, World War II had seen the United States become the world's dominant sea power.",B1
"Despite these freedoms, ancient Egyptian women did not often take part in official roles in the administration, aside from the royal high priestesses, apparently served only secondary roles in the temples (not much data for many dynasties), and were not so likely to be as educated as men.",B2
"The Vikings, in the 8th century AD, invented a ship propelled by oars with a dragon decorating the prow, hence called the Drakkar.",B1
"Cauchy's mean value theorem, also known as the extended mean value theorem, is a generalization of the mean value theorem.",B2
Linear differential equations are the differential equations that are linear in the unknown function and its derivatives.,C1
"A differential algebraic equation (DAE) is a differential equation comprising differential and algebraic terms, given in implicit form.",C1
"A delay differential equation (DDE) is an equation for a function of a single variable, usually called time, in which the derivative of the function at a certain time is given in terms of the values of the function at earlier times.",C1
"No hypothesis of continuity needs to be stated if I is an open interval, since the existence of a derivative at a point implies the continuity at this point.",C1
"Homologous chromosomes are separated in the first division (meiosis I), and sister chromatids are separated in the second division (meiosis II).",C2
This is called the observer effect.,A2
The bases are divided into two groups: pyrimidines and purines.,C1
Yet these organisms are also part of the normal human flora and usually exist on the skin or in the nose without causing any disease at all.,B2
"In some specific fields of science, the results of observation differ depending on factors that are not important in everyday observation.",B2
"Monarchies are associated with hereditary reign, in which monarchs reign for life and the responsibilities and power of the position pass to their child or another member of their family when they die.",B2
"A regent may rule when the monarch is a minor, absent, or debilitated.",B2
This was originally intended to provide a check on political power.,A2
Different policies were applied in Albania and China which became more distanced from the Soviet Union.,A2
"Monarchies, though, have applied state symbols like insignia or abstracts like the concept of the Crown to create a state identity, which is to be carried and occupied by the monarch, but represents the monarchy even in absence and succession of the monarch.",B2
"The practice of social work requires knowledge of human development and behavior; of social and economic, and cultural institutions; and the interaction of all these factors.",B2
"Supraglottal pressure, with no constrictions or articulations, is equal to about atmospheric pressure.",C2
"Mental health services, is a loose network of services ranging from highly structured inpatient psychiatric units to informal support groups, where psychiatric social workers indulges in the diverse approaches in multiple settings along with other paraprofessional workers.",C1
"Since its inception, sociological epistemology, methods, and frames of inquiry, have significantly expanded and diverged.Durkheim, Marx, and the German theorist Max Weber are typically cited as the three principal architects of sociology.",C1
The antagonism represents the most modern form of the conflict which primitive man must carry on with nature for his bodily existence.,B2
"The ""open/closed principle"" advocates that classes and functions ""should be open for extension, but closed for modification"".",B2
Information theoretic security refers to methods such as the one-time pad that are not vulnerable to such brute force attacks.,C1
"In this model, the series impedance and the shunt (current leak) conductance are considered, with half of the shunt conductance being placed at each end of the line.",C1
The reduced current flowing through the line reduces the heating losses in the conductors.,B2
Faults in buried transmission lines take longer to locate and repair.,B1
"The population of Rome, the excessive increase of which had been the principal aliment of seditions, was called to labour and a country life; the greater part of the countries of Italy, which had lost their inhabitants, were re-peopled.",C1
"One of the Queen's great delights at Windsor was to walk round the farms and inspect the cattle, which are still, owing largely to the careful methods of feeding and tending instituted by the Prince, among the finest in the world.",B2
"When the Tetzel writings came off press and were distributed, students at Wittenberg collected a large quantity and held a public bonfire.",B1
It is God’s free gift to the individual believer.,A2
"They were generally agriculturists, excluded originally from all military and civil office.",B2
"And the little prince went away, puzzled.",A1
"This is, to me, the loveliest and saddest landscape in the world.",A2
The fifth planet was very strange.,A2
The businessman suddenly realized that there was no hope of being left in peace until he answered this question.,B1
Then he mopped his forehead with a handkerchief decorated with red squares.,B1
"Eugene O’Curry wants to establish that compositions of an older date than the twelfth century existed in Ireland in the twelfth century, and thus he proceeds.",C1
"‘“Why, dear Jane,” he said, “do you scatter good grain on the ground; would it not be better to make good bread of it than to throw it to the greedy chickens?”",B2
"For sensibility, the power of quick and strong perception and emotion, is one of the very prime constituents of genius, perhaps its most positive constituent; it is to the soul what good senses are to the body, the grand natural condition of successful activity.",C1
"He clothed himself in purple and fine linen, and fared like the king himself.",B1
"His mother, too, would be pleased; she had counselled the step; he must write her a long account.",C1
"On the following day the thirty-six patients were installed in the Bishop’s palace, and the Bishop was settled in the hospital.",B1
"As she passed the Thénardier hostelry, the two little girls, blissful in the monster swing, had dazzled her in a manner, and she had halted in front of that vision of joy.",C1
"He turned his back to the grating, and fell upon the pavement, hurled to earth rather than seated, close to Marius, who still made no movement, and with his head bent between his knees.",C1
"When the five men sent back to life had taken their departure, Enjolras thought of the man who had been condemned to death.",B2
Stopping the entire narrative at the climax in order to inexplicably launch into a bone-dry description of Mormonism for seemingly 800 pages...brave.,B1
"This has to be the start of a series, right?",A2
"When the murderer goes on to explain his/her actions, you will continue to not believe it.",B1
"Didn't care much for the characters, the twist was so obvious, the writing just okay.",A2
I've written a review of this horrid novel only because I might spare a friend or two.,B1
"The room was bright, light and very clean as were the shared bathrooms.",B1
Reception staff friendly and helpful.,A2
"When the rooms are finally updated, this place could be top-notch.",A2
"However this doesn't extend to the staff, who were unfriendly to say the least and didn't acknowledge the fact we were newly weds despite it saying so on our booking form, Sadly the reception area was the only 'wow' that the hotel had.",B2
"!The hotel was so quiet, clean and unique in its layout and decorum!",A2
"It is predominantly Willis as the N.Y. cop, coming to visit his L.A. businesswoman wife, and his outsmarting the bad guys.",B1
"To be honest, by now I didn't really care.",A2
This film does have its good points.,A2
This wonderful story takes you back to a more simple time and brings back memories for both old and young.,A2
"The hilarious one-liners, the smart remarks and the way Willis makes himself know to the terrorists is just classic and we get so many great showdowns that you can't help enjoy all of them.",B2
"Customer service did seem to be nice though, but I regret missing my return date for these.",A2
"Very disappointed in the quality, patterns and size I will donate or give away.",B1
Two of the glasses were broken when I opened the package.,A2
Very very poor quality and expensive!,A2
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,B2
I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,A2
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,A2
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.",B1
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",B1
Rotate the image 1 degree clockwise to bring it into better horizontal alignment.,B2
"In general, the ith dimension of the output array is the dimension dimorder(i) from the input array.",B2
"B = imtranslate(A,translation) translates image A by the 2-D or 3-D translation vector specified in translation.",C1
The resulting image is an m-by-n grid of pixels where m is the number of rows and n is the number of columns in C. The row and column indices of the elements determine the centers of the corresponding pixels.,C1
The estimateCameraParameters function estimates extrinsics and intrinsics parameters.,B2
Repeating a mantra is a great way to cleanse your aura.,B1
"Layers are great for babies, because you can easily take them off or put them on as needed.",B1
Many people find they feel lighter and more positive after an aura cleanse.,B1
"Afterward, you might want to cleanse your selenite crystal to remove the negative energy.",B2
"Hold this position for one minute, rest, and repeat two more times.",A2
Flip and repeat so it becomes lightly browned on both sides.,A2
"They can also be mixed in the pan, but it's a little tricky not to spill.",A2
"In large saucepan, combine sugar, margarine and evaporated milk.",A2
Remove onion and bay leaf.,A2
Pour tempered egg mixture into pan of hot pie filling.,B1
"While charging, the device and the charger may become hot and stop charging.",A2
"Samsung Members may be preloaded on your device, or you can download and install it from Galaxy Store or the Google Play store",B1
"Although the Samsung Health application is a great companion to your exercise routine, it is always best to make sure you consult with your physician before beginning any exercise regimen.",B2
Any device which uses accessible compartments or ports that can be opened should have these sealed or closed tightly to prevent liquid from entering the system,B2
Use the Alarm tab to set one-time or recurring alarms and choose options for how to be notified,B1
"In the event of any discrepancy between the English version of this Code of Conduct, or any other Fatima Fellowship material, and a translated version, the English version shall prevail",B2
You may be subjected to disciplinary action as well for having knowledge of but failing to appropriately report a violation of this Code of Conduct,B2
"Fatima Fellowship prohibits the discrimination against, and harassment of community members, including organizers, mentors and fellows",B2
"Harassment includes any action, language or visual representation, that is sufficiently severe, pervasive, persistent or patently offensive that it has the effect of unreasonably interfering with that person’s work or academic performance, or that creates an intimidating, hostile, or offensive working, educational, or living environment",C1
The program is conducted online in its entirety,A2
"Parties are individually and separately responsible for their own business operation and expenses, including securing or paying any licensing fees, insurance, taxes (including FICA), registrations or permits.",B2
All travel can be arranged by clients per specifications of Consultant or arranged by Consultant with agreement of payment invoiced.,B2
"Client agrees to indemnify and hold harmless Contractor and its employees, agents and independent contractors for any injury, property damage, liability, claim or other cause of action arising out of or related to Services provided herein.",C2
"In addition, the program provides the means for athletes to participate in appropriate recreational activities geared to their ability levels",A2
A Jury of Appeals shall consist of a minimum of three members: one from the Accred ited Program responsible for conducting the Games; one from the GOC and a designated person with a thorough knowledge of Special Olympics standards and philosophy,C1
"Where no such protocol is published, the sport specific jury shall consist of a minimum of three members: one from the Accredited Program responsible for conducting the competition; one from the GOC, or Sport Management Team, and the head official for that  sport",B2
When and where divisioning scores were established:  Competition Management must take into account when and where the divisioning scores were established.,B2
Athletes and teams may not exceed thi s percentage of improvement from their divisioning score to their final score.,B2
"The President, Vice President and all civil Officers of the  United States, shall be removed from Office on Impeachment for, and Conviction of, Treason, Bribery, or other high Crimes and Misdemeanors",C1
"The Congress shall have Power to declare the Punishment  of Treason, but no Attainder of Treason shall work Corrup- tion of Blood, or Forfeiture except during the Life of the  Person attainted",C1
"Neither slavery nor involuntary servitude, except as a  punishment for crime whereof the party shall have been  duly convicted, shall exist within the United States, or any  place subject to their jurisdiction.",B2
This deficient performance prejudiced Thomas by depriving him of a fair trial.,B2
"To its dismay, Coral Ridge learned it was ineligible for the program.",B1
"No compensation is payable by the United Nations for non-economic loss, such as pain and suffering or moral anguish, as well as punitive or moral damages;",B2
"Concerning collective trials of individuals, stated in a number of recommendations, according to article 209 of Penal Procedures Code, if several persons act together in committing an offence; charges against them are heard jointly.",C1
"Moreover, successful implementation will require that the orientation of enterprise development is towards tapping the potential opportunities presented by the larger globalizing and liberalizing trends in the world economy.",C1
"That plan sets out a framework for the provision of support for prison rehabilitation, capacity-building of prison officials and vocational training of prisoners.",B2
"As their orbits are so eccentric that when at apastron the stars are twice as remote from each other as at periastron, they will for the next three and a half centuries continue to slacken their pace, until they shall have reached the most remote points of their orbits.",C2
"Torrid weather gripped large parts of western and central Europe on Wednesday, setting new June temperature records in Germany and the Czech Republic and forcing drivers to slow down on some sections of the famously speedy German autobahns.",B2
"Soap was rarely used, apart from washing one’s clothes, and they were made from wood ash lye to saponify animal fat.",B1
"Although humiliated and mistreated, she rises from the ashes like a phoenix.",B2
"Demographically, the counties Sherman hit were more populous, but not denser or more urban, and even the raw population diﬀerences fade when we include state ﬁxed eﬀects (column 4).",B2
Postwar underdevelopment in credit markets played an important role in explaining the extent of the relative eﬀects and the delay in recovery.,B2
The growth rates are winsorized at 1% to reduce the impact of outliers in our analysis,C1
"The same holds for agricultural investments, but in this case the eﬀect is weaker statistically",A2
"The results are similar with the full sample, as the results by decade in Table A.5 suggest",B1
"Our discussion in the following paper steps back and reflects on the role of the ILC Articles in the wider field of international law.3 Three comments by James Crawford, which in our view capture three essential features of the ILC Articles, structure the discussion.",B2
"International practice has embraced the Articles, which have become the obvious reference point for any debate about State responsibility.",B2
"Again, Leiris faces a point of ignorance that stubbornly blocks the path to complete self-knowledge.",B2
"In this essay, I deal not with the ideal itself, but rather with its limitations.",B1
"If, then, we acknowledge the defensive nature of the search for the missing lacuna, the search itself—for a founding moment or a missing experience—turns out to be an obstacle to self-knowledge.",C2
"The dream navel is the obstacle to groping curiosity, but an almost unavoidable reversal makes the model for a barrier to self-knowledge serve, as well and in parallel, as a model for the nature of the investigation, defining the very pursuit of self-knowledge.",C1
"As described below, permit- ting groups to present and defend their answer choice before reveal- ing the correct answer was key in determining whether the concepts addressed in each question were understood or not.",B2
Attendance and participation is gen-erally a reflection of their perception of the value of that activity.,B1
Colored cards involve essentially no additional cost to the course and are easily transported to settings where this activity might be scheduled,B2
"A “politics-centric” view, even in studies that foreground media as a salient consideration, would critique the news as being overly interpretive, intrusive, cynical, or negative.",B2
"Longitudinally, our coding shows that there has been a slight decrease in research expressing a negative tone toward the media over time.",B2
Temporally sparse and delayed reward signals make training an RL agent notoriously slow and unstable.,C1
"The original observation space solely contains proprioceptive information, where methods must memorize which space is obstacle-free, rather than learn to avoid obstacles.",C1
"Many such clustering algorithms have been developed satisfying different desiderata for applications in fields such as image processing, biomedicine, and spatial data.",B2
A man wearing sunglasses and a cap lies on a metal bench outside to do a stomach exercise .,A2
A man carries a baby in a big city .,A2
A woman in a pink shirt and knee pads is playing volleyball .,A2
Group of men in blue uniform are emptying supplies off the cargo plane .,A2
A man stands up to make a speech at a family gathering .,A2
It's our little secret .,A2
Have you ever met a shark ?,A2
I can't go with that girl .,A1
He was taken by these divers .,A2
A boy sits where it's windy and shows us his collection of cards and how he shuffles them.,A2
Two girls are moving their hands around and then their legs to music.,A1
A man is cutting designs into a pineapple and trying to sell it to the photographer.,A2
Several young men participate in a ball game on a grassy area as one of them kicks a large ball.,A2
"A woman and a girl blow bubbles with gum, the woman pops the bubble on her face and the girl laughs A group of people rip out the wax strips from a mans leg as he gets up in pain A man is throwing a hatchet at a wooden target.",B1
They're all gonna hate me.,A1
And you can call me Camila.,A1
Who knows if we'll ever figure that out.,A2
"So, in the Demon Realm, you fought the evil Emperor Belos, who turned into a monster.",B2
Your make-up application says i failed clown college.,A2
Jim gaffigan's stand-up is so funny that i watched it a second time... ...and i jim laugh again'd.,B1
Start the day with a big bowl of why the fuck am i awake.,A2
My memory lane is now mostly traffic cones.,A2
"A sheep, a drum, and a snake fall down a cliff... ba-dumm-tss",A2
"And it is to you, Mr. President, that I will proclaim it, this truth, with all the force of the revulsion of an honest man.",B2
"I reckon my looks were more of a worry to me in the days when they could aspire to being good than they are now—Jesus, the anxious hours I used to spend painting absurd Thirties faces onto my faultless 19-year-old skin!",C1
Would you be interested?,A1
"Look, I know you are trying to save some money but this bike is in incredible shape.",B1
Is it an antique?,A2
"Hi, I'm interested in your iphone.",A2
"Hello , is that the Peace Restaurant ?",A2
"Hello , is there anything I can do for you ?",A1
Here comes the last course !,A1
"Hello , do you know anywhere that sells cheap cashmere sweaters ?",A2
cancel all alarms this week while I'm on vacation,A2
cancel alarm for 4pm,A1
Add an alarm on Saturday at  11 am,A1
Show me my alarm,A1
When is the next alarm set for?,A2
One must be so careful these days,A2
Your shadow at morning striding behind you,B1
"My cousin’s, he took me out on a sled",A2
With a dead sound on the final stroke of nine,B1
"Here is Belladonna, the Lady of the Rocks",A2
"And after this decision came down — the Dobbs decision — you know, these so-called — I call them extremists, so-called leaders — they’d say, “Well, you know, we — we think that maybe the states should be making these decisions.”  Right?",B2
And we’ve already passed the legislation to do that; it’s just taking effect.,B1
"All these initiatives take hold as they do, from lead pipes being removed from schools and homes, to new factories being built in communities with a resurgence of American manufacturing.",B2
"And when he’s President and they say, “Joe Biden is out in the outer office,” I don’t want him to say, “Joe who?”",B1
Because you voted.,A1
"And some countries want to go more into the gas they found or the coal they've found, in particular, gas more recently.",B1
We know that women still get paid less than men.,A2
It was only after I began to see this profound potential for impact that I realized that virtual organizations can help us better distribute educational resources directly to those who would benefit from them the most.,B2
"So I was really inspired by her actions, and I decided that I would start striking as well.",A2
What would an 8.8 average on a scale from 1 to 10 in high school be converted to GPA?,B1
Who are the most famous high achieving sociopaths?,B1
What is a place?,A1
What is time mechanism of insulin resistance?,B2
How much air is used in one cycle of an their IC engine?,B2
but if you are interested in taking all these classes i recommend sticking with this schedule for now and seeing how you handle it.,B1
"In terms of what classes you should take, make sure you have strong fundamentals in accounting and finance.",B1
Hell even just Cornell Gardens would be better.,B1
"If they still don't stop, talk to the dean more- it costs a lot of money to change and you usually aren't able to for a few weeks.",B2
Your reply is utterly inappropriate.,A2
I have a project group that contains a project I'm working on as well as some related component and packages.,B1
"When webstarting, both libraries are places in some webstart working area.",B2
I'm a PHP guy working in Java on a JSP project.,B2
"Now, CCNET refers nAnt a lot, but it looks as if ccnet can do most of the stuff nant could do through the project configuration and msbuild.",C1
"Now, I know that this is one of those questions that has the potential to start a religious war, but I'd appreciate any feedback from the community on how you approach such things.",B1
Be yourself; everyone else is already taken.,A2
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",B2
It is better to be hated for what you are than to be loved for what you are not.,A2
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",A2
"I've just found 10,000 ways that won't work.",A2
Maricopa County Elections deleted their database,A2
Low Flu cases this year prove that the pandemic is fake,A2
Afghanistan has more hectares of opium poppies planted today than they had before we started this war.,B2
Studies have consistently failed to establish the existence of a link between the harshness of a country’s drug laws and its levels of drug use.,B1
Don't say i didn't tell you so.,A1
Pfizer has begun testing its coronavirus vaccine in children as young as six months,B1
"Now Is Not The Time To Stop Wearing A Mask,' Says CDC Director Rochelle Walensky",A2
Thompson didnt address what I think is the most bizarre aspect of the vaccine trials: That the drug companies barely included any elderly people with comorbidities.,B2
not my aunt trying to convince me not to get the vaccine bc itll make me “infertile” girl log off facebook,A2
The company reiterates its outlook for 2009 .,B2
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",C2
The Financial Statements and Interim Reports will be released around at 9.00 a.m. ( Finnish time ) on the given dates .,B2
"Price talk is in the mid-market swaps plus 105 bps area and the leads are Barclays , BNPP , UBS and CBA .",B2
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .",B2
"Don't worry, there will be a disco ball.",A2
"The artwork has been hotly debated for years, but its sale signals one thing absolutely: a ""very unequal, even obscene distribution of wealth in the world.""",C1
WARNING: This will make you want to curl up with all her books and disappear.,B2
This ethereal pop duo can smell your fear. And they like it.,B2
"""My approach was not to take a pro- or anti-hunting/trophy position,"" photographer Pierre Abensur explained.",B2
"I'm told the spectacle that is CES is something that has to be seen to be believed. A technical extravaganza of epic proportions. So what on earth, you may ask, may excite a self-professed techno inept enough to venture forth into the wilds of the world's largest electronic mosh pit?",C2
Apple is looking to boost flagging sales in China.,B2
[UPDATE: A Verizon spokesman told Wireless and Mobile News that an update for the Rezound will not be rolling out over the,B2
"Smartphones are ruining relationships. If you don’t agree, read Sherry Turkle’s “Reclaiming Conversation: The Power of Talk",B2
Should this have given us such a creepy feeling?,B1
Fiorina has made the VA report a staple of her recent speeches.,B2
The administration's proposal would fold DOJ's Community Relations Service office into the Civil Rights Division.,B2
The increasing number of migrant children being apprehended at the US border has finally focused media and political attention on the humanitarian plight of Central American migrant families.,C1
The ugly Christmas sweaters went fast.,A2
"You, and many American taxpayers, may be in danger of leaving some of your hard-earned money on the table and otherwise losing some tax benefits you otherwise deserve and can get quite easily.",C1
"I spend a lot of time reviewing the latest tax laws and how they can affect you, but it's fun every now and again to take a step back and look at some of the stranger nuances of tax law.",B2
"A new school year is beginning, and while kids are heading back to reading, writing and arithmetic, parents are stressing about time and money.",B2
"There is one thing that sets me apart from the other soccer moms, which is that I am a member of ""The Compact."" And no, that doesn't mean that I practice polyamory, weave my own caftans and practice 140-degree yoga. It means that I don't buy anything new.",B1
Think you're covered when it comes to your medical bills because you have good health insurance? Don't be so sure.,B1
He's already been sentenced to 40 to 175 years on other abuse charges.,B1
The league met with Manziel in Cleveland on Wednesday night.,B1
"With the 49ers preparing to face the Packers in what could be one of the coldest games in NFL history, 64-year-old professional",B2
It might not all be bad news.,A2
The rookie quarterback has taken the league by storm.,B1
"In Figure 4.1, a monopoly finds the profit -maximizing price and quantity by  setting MR equal to MC.",B2
"The numbers used here  are simple, but can be replaced with actual estimates of supply and demand to yield  important and interesting quantitative results to market events.",B2
"For unitary elastic goods, the  percentage change in quantity demanded is equal to the percentage change in price.",B2
"As incomes  increase, consumers shift out of grain-based diets such as rice and wheat, and into meat.",B1
The two most important groups that are studied in welfare economics are producers  and consumers.,B2
"In many situations, it pays to  determine the firm’s level of  output first, before other firms in the industry can decide  how much to produce .",B2
"The principle of comparative advantage provides large benefits to individuals, nations,  and firms that specialize in what they do best, and trade for other goods.",B2
"We will use the concepts of consumer surplus and producer surplus extensively in what  follows, where we will explore the consequences of policies in food and agriculture.",B2
The practice of bundling is that of selling two or more goods together as a package.,A2
"The profit-maximizing level of  output and price have been found in three ways: verbal, graphical, and mathematical.",B2
The price elasticity of supply is also elastic: a one percent increase in price results in a  1.5 percent increase in the quantity supplied of phones.,B1
"In a domestic economy, the demand for food and  agricultural products is typically inelastic.",B2
Profits are larger if different sized packages are sold at the same time.,B1
The maximum profit level can be found by substitution of P* and Q* into the profit  equation:,B2
Suppose that we we raised the price by one unit to find out how responsive  consumers are to an increase in price.,B1
"Since this is less than the free trade import level, it will decrease the amount of sugar  available in the USA, and cause price to increase.",B2
"If  both Walmart and Target enter this market, both firms lose ten million USD, since the  town is not large enough to support both firms.",B2
There are three properties of a market supply curve.,B1
"To draw a demand curve, the most important determinant of demand is isolated: the  good’s own price.",B2
"The purpose, or  objective, of this policy was to help consumers.",B1
"Politicians representing the entire nation will support the overall benefits  from trade, brought about by efficiency gains from globalization.",B1
Invert this derivative to provide the derivative needed to calculate the price elasticity of  supply:,B2
It would be preferable to earn a lower price than it  would do let the surplus go unsold.,B1
"Complements in production are goods that are produced together, such as beef and  leather.",B1
"The first property reflects the Law of Demand, which states that if the price of a good  increases, the quantity demanded of that good decreases, holding all else constant.",B2
"The monopolist can set a price, but the resulting quantity is determined by the  consumers’ willingness to pay, or the demand curve.",C1
"Price supports are most often used in high-income  nations such as the US, EU, Japan, Australia, and Canada.",B1
"Our study of market structures in this course will examine each of these  properties, and use them to define industries where these properties do not hold.",B2
"For example, the US is a major wheat exporter.",A2
Taxes are analyzed in the next section.,A2
"Sugar is produced in the United States, but at higher production costs than sugar  production in tropical climates found in Cuba, the Dominican Republic, and Haiti.",B1
"However, in  a global economy, this keeps the US competitive in global grain markets.",B1
"Finally, the change from free markets to the price  policy are calculated to conclude the qualitative analysis of a price ceiling.",B2
"After the price support is put in place, the new levels of surplus are;",B2
The quantity can be substituted into the inverse supply and demand equations to find  the buyer’s and seller’s prices.,B2
"Interestingly, and perhaps unexpectedly, all government interventions  have deadweight loss to society.",B1
The monopoly restricts output to drive up the price.,B1
"The new policy worked very well, and  China moved from being a net food importer to a net food exporter.",B1
"The impact on consumers remains the same as in Case One, but the impact on  producers is much costlier.",B2
"On the other hand, if firms cooperate and act together, the firms  can have more market power.",B1
Prejudice: A type of emotional bias inflicted upon members outside of one’ s own social  group,B1
Motivational conflict  (or ambivalence) arises when people experience two goals that are incompatible  with each other.,B2
"Research has found that some of our attitudes are inherited, at least in part, via genetic transmission  from our parents.",B1
"To some  degree, consumers in the same social class exhibit similar purchasing behaviour .",B1
"Now , when I look at advertisements I have to think more critically about the messages they are conveying:  what are they telling me to think?",B1
Consider the more complicated problem involved with status and image–how we want others to see us,B2
"Group communications through opinion leaders: As consumers, we are often seeking out  the advice of knowledgeable friends or acquaintances who can provide information, give  advice, or actually make the decision for us.",B2
Gender stereotypes typically maintain gender inequalities in society,B2
There is a lack of consensus about what an influencer  is.,B1
The Cost of Failing to be Memorable  Marketers obviously hope that consumers will not for get about their products.,B2
Motivation can thus be conceptualized as a series of  behavioural responses that lead us to attempt to reduce drives and to attain goals by comparing our  current state with a desired end state,B2
"Many people have contributed to this book and I am grateful for their guidance, inspiration, expertise,  and good eyes.",A2
A more complex self suggests that we have several dif ferent ways of thinking  about ourselves,B1
"Extrinsic brand attributes: These are the features and characteristics of a brand that enable  consumers to form associations with it and give it meaning—such as a brand’ s price, its  packaging, label, name, logo, and image",B2
"Schemata  are like databases of stored,  related information that we use to interpret new experiences.",B2
"Seeing an opportunity in this apparent disconnect, the ARC  engaged a creative agency to help repositioning  the or ganization in the minds of potential donors",B2
People differ from one another on behaviours related to the trait.,B1
Promotion orientation: A self-regulatory orientation we use emphasizes goals as things we  are hopeful about as well as things that bring accomplishment and advancement to our  needs.,C1
"Therefore, when we are hungry , we often have a specific food item in mind.",A2
"Selective attention: A term that describes our focused commitment to only some of the  stimuli and senses that we come in contact with, based on what is relevant to our needs  and/or interests",B2
"As an example, if you have a cup of cof fee that has only a very little bit of sugar in it (say one  teaspoon), adding another teaspoon of sugar will make a big dif ference in taste.",A2
"It’s not always easy to obtain good descriptive norm  information, which means we sometimes rely on a  flawed notion of the norm when deciding how we should behave.",B2
These two competing models remind us how cultural context shapes consumers needs and wants,B1
